overall_qual,gr_liv_area,nb_ranking,garage_area,garage_cars,total_bsmt_sf,1st_flr_sf,year_built,year_remod/add,full_bath,totrms_abvgrd,mas_vnr_area,fireplaces,bsmtfin_sf_1,open_porch_sf,wood_deck_sf,lot_area,saleprice
8,1601,2.5,670.0,2.0,1581.0,1601,2001,2002,2,6,479.0,1,1358.0,0,180,11423,272000
7,1336,2.5,502.0,2.0,1336.0,1336,2005,2006,2,6,0.0,0,996.0,43,136,8772,198000
4,1656,1.85,440.0,2.0,801.0,1095,1940,1985,2,8,0.0,0,0.0,0,187,7628,119164
5,1124,1.7,0.0,0.0,0.0,1124,1954,1954,1,5,0.0,1,0.0,36,0,8335,93000
7,1892,2.1,431.0,2.0,982.0,1008,2000,2001,2,8,647.0,1,544.0,0,108,8220,226750
3,1699,1.85,420.0,2.0,978.0,1014,1900,1970,2,7,0.0,0,440.0,74,0,10615,95000
6,1416,1.35,312.0,1.0,780.0,780,1948,1950,1,6,0.0,0,300.0,0,221,6000,139900
3,1306,1.35,0.0,0.0,728.0,1306,1940,1966,1,6,0.0,0,0.0,0,263,5350,76500
4,672,1.85,308.0,1.0,672.0,672,1940,2005,1,4,0.0,0,0.0,108,88,5400,86900
5,1160,1.45,257.0,1.0,1113.0,1160,1968,1968,1,6,0.0,0,785.0,0,81,17979,152500
4,930,1.7,286.0,1.0,911.0,930,1953,1953,1,5,115.0,0,767.0,0,134,9520,99000
4,708,1.35,0.0,0.0,420.0,708,1940,1950,1,5,0.0,0,280.0,0,164,5330,82500
6,1575,2.0,529.0,2.0,1575.0,1575,1992,1992,2,5,0.0,0,430.0,0,0,8012,179200
5,1059,1.4,286.0,1.0,1059.0,1059,1966,1966,1,6,0.0,0,773.0,88,0,9000,142500
4,1005,1.4,440.0,2.0,1005.0,1005,1964,1964,1,5,0.0,0,513.0,0,0,14299,115400
7,1929,2.15,650.0,2.0,1057.0,1057,2001,2001,2,7,0.0,1,738.0,235,0,7050,226000
7,1200,2.15,480.0,2.0,600.0,520,2005,2005,2,4,0.0,0,0.0,166,0,3180,144152
8,2690,2.7,795.0,3.0,1765.0,1804,2003,2003,2,9,221.0,1,0.0,58,268,16451,370000
5,833,1.45,495.0,2.0,833.0,833,1984,1984,1,5,0.0,0,207.0,0,431,12887,149900
6,1456,2.1,429.0,2.0,728.0,728,2006,2006,2,8,0.0,0,0.0,0,0,15578,172785
5,864,1.9,720.0,2.0,864.0,864,1950,2002,1,5,0.0,0,398.0,0,194,7200,129000
6,1586,2.05,435.0,2.0,1362.0,1586,1979,1998,2,7,0.0,1,0.0,0,192,17043,181000
5,1370,1.9,300.0,1.0,1058.0,1370,1956,1956,1,6,272.0,1,678.0,0,191,10000,148000
6,914,1.7,0.0,0.0,914.0,914,2002,2002,1,4,0.0,0,475.0,0,32,8050,117250
7,1555,2.1,430.0,2.0,1373.0,1555,2005,2006,2,7,16.0,1,16.0,20,143,3182,192500
6,1556,1.6,452.0,2.0,716.0,716,1980,1980,2,6,0.0,1,81.0,0,161,1950,151000
5,882,2.5,461.0,2.0,882.0,882,1972,1972,1,5,0.0,0,138.0,0,96,7700,112500
5,1167,1.35,495.0,2.0,915.0,1167,1920,1950,1,6,0.0,1,645.0,0,0,8731,144000
9,1800,2.7,944.0,3.0,1800.0,1800,2007,2008,2,6,714.0,1,1204.0,0,210,8232,370967
6,1456,1.35,440.0,2.0,855.0,855,1975,1975,2,6,0.0,1,514.0,0,173,2280,149900
7,1660,2.5,493.0,2.0,831.0,831,2002,2002,2,7,95.0,0,0.0,68,144,8935,195000
7,1482,2.1,392.0,2.0,384.0,812,1992,1992,2,7,170.0,1,0.0,25,100,9125,163900
6,1522,2.35,552.0,2.0,1190.0,1522,1984,1984,2,7,136.0,1,299.0,77,0,11075,182000
9,2036,2.85,780.0,3.0,2190.0,2036,2008,2008,2,9,246.0,1,1758.0,154,90,13438,410000
5,1595,1.45,672.0,2.0,1582.0,1595,1991,1991,2,5,0.0,0,55.0,0,0,11070,152000
7,1686,2.0,462.0,2.0,891.0,891,2005,2005,2,8,172.0,0,0.0,101,144,7800,184000
7,1344,1.45,784.0,4.0,1344.0,1344,1997,1998,2,8,200.0,0,1309.0,0,0,7060,206300
5,1652,1.45,928.0,3.0,1652.0,1652,1970,1970,2,8,0.0,0,149.0,0,0,11836,146500
4,1337,1.9,263.0,1.0,832.0,832,1956,1956,1,5,0.0,0,0.0,0,0,8382,108000
7,1920,2.05,487.0,2.0,570.0,1222,1968,1992,3,8,143.0,1,0.0,98,0,10192,170000
6,848,2.5,420.0,2.0,848.0,848,2004,2004,1,3,205.0,0,662.0,0,140,4426,145000
7,1055,1.35,440.0,2.0,1057.0,1055,1975,1975,2,4,0.0,1,435.0,27,0,2280,123000
6,1291,2.35,431.0,2.0,1291.0,1291,1996,1997,1,6,0.0,1,1003.0,0,307,2887,173000
6,720,1.85,484.0,2.0,624.0,720,1928,2003,1,5,0.0,0,0.0,0,106,8520,105900
4,988,1.25,297.0,1.0,462.0,526,1973,1973,1,5,0.0,0,462.0,101,120,1596,91000
5,1523,2.5,295.0,1.0,1067.0,986,1949,2005,2,7,0.0,1,312.0,0,0,15600,158000
7,1728,2.5,572.0,2.0,864.0,864,2004,2004,2,7,0.0,0,0.0,56,187,9313,190000
8,1239,2.6,477.0,2.0,1230.0,1239,1995,1995,1,4,0.0,1,560.0,24,172,11064,217500
5,1955,1.05,356.0,1.0,1151.0,1151,1958,1958,2,7,162.0,0,330.0,0,0,9000,165500
7,1564,2.5,234.0,1.0,704.0,860,1941,1950,1,7,0.0,1,275.0,0,0,12000,174500
4,1204,1.7,312.0,1.0,416.0,1204,1954,1954,1,6,0.0,0,0.0,0,0,7692,100000
6,1329,1.9,312.0,1.0,1329.0,1329,1958,1958,1,6,108.0,0,923.0,36,393,14267,172000
5,879,2.5,440.0,2.0,864.0,879,1975,1975,1,5,0.0,0,330.0,80,0,9675,120000
4,841,2.0,294.0,1.0,721.0,841,1950,1950,1,4,0.0,0,0.0,0,250,8400,82000
6,1312,1.9,649.0,2.0,784.0,900,1947,1950,1,6,0.0,0,0.0,28,0,7500,127000
6,2058,1.85,396.0,2.0,735.0,1134,1917,1950,1,8,0.0,1,319.0,0,0,9600,129500
8,1360,3.6,565.0,2.0,1220.0,1360,1984,1984,1,4,0.0,1,1036.0,0,63,5814,187500
8,1786,2.5,715.0,3.0,1778.0,1786,2002,2003,2,6,240.0,1,1538.0,35,182,14860,300000
6,1993,2.05,495.0,2.0,825.0,1097,1971,1971,2,8,252.0,1,416.0,66,0,14803,190000
4,1362,1.7,280.0,1.0,951.0,986,1920,1950,2,7,0.0,0,0.0,0,0,7550,96000
7,1550,2.15,438.0,2.0,1092.0,1112,2006,2007,2,7,100.0,0,812.0,168,0,8125,241000
5,1696,1.4,349.0,1.0,1140.0,1696,1962,1962,1,8,0.0,1,0.0,30,0,13673,143900
4,1092,1.25,286.0,1.0,546.0,546,1970,1970,1,5,0.0,0,408.0,0,0,1533,87550
9,1752,2.7,576.0,2.0,1752.0,1752,2005,2005,2,6,412.0,1,456.0,82,196,7658,319900
9,2473,3.6,675.0,3.0,1094.0,1102,2006,2006,2,11,184.0,1,205.0,39,246,12292,356383
9,1800,2.5,702.0,2.0,1800.0,1800,2007,2007,2,7,0.0,0,0.0,136,288,11923,239000
7,2197,3.4,783.0,3.0,1080.0,1108,1993,1994,2,9,320.0,1,228.0,99,385,10010,287500
5,1382,1.85,660.0,2.0,720.0,854,1941,1950,1,7,0.0,0,360.0,0,237,12358,128500
7,1733,2.1,433.0,2.0,847.0,847,2004,2004,2,7,0.0,1,0.0,48,144,8577,185088
7,1402,2.15,625.0,2.0,1402.0,1402,2008,2008,2,7,0.0,0,0.0,126,205,8640,229800
5,887,1.45,288.0,1.0,864.0,887,1984,1984,1,5,0.0,0,516.0,0,140,10447,124500
5,1051,1.9,504.0,2.0,1051.0,1051,1968,1968,1,6,0.0,0,758.0,0,0,9600,142000
6,1510,1.45,216.0,1.0,755.0,755,1920,1950,1,6,0.0,0,305.0,0,0,4899,149000
5,1656,2.05,506.0,2.0,1656.0,1656,1973,1973,2,8,564.0,0,0.0,211,0,9246,135000
6,958,1.35,440.0,2.0,1078.0,958,1976,1976,2,5,0.0,1,120.0,205,0,4928,128000
8,3228,3.4,546.0,2.0,3200.0,3228,1992,1993,3,10,0.0,1,1231.0,75,264,12692,430000
5,1040,1.4,686.0,2.0,1040.0,1040,1968,1968,1,5,0.0,0,812.0,0,188,7476,145000
5,1250,2.5,552.0,2.0,661.0,661,1910,2003,2,8,0.0,1,0.0,0,242,5362,139000
6,1868,2.05,477.0,2.0,585.0,1140,1984,2003,3,7,74.0,1,0.0,112,268,12090,178000
10,2790,2.7,1150.0,4.0,1620.0,1632,2005,2006,2,10,468.0,1,1082.0,200,30,12539,460000
6,2134,1.35,441.0,2.0,844.0,1445,1916,1994,2,10,0.0,0,0.0,60,0,11888,214500
5,1928,1.45,0.0,0.0,686.0,948,1916,1995,2,10,0.0,0,0.0,0,0,7082,160000
7,2060,2.1,390.0,2.0,992.0,1022,1999,1999,2,8,298.0,1,772.0,0,0,8755,214000
6,1378,1.85,162.0,1.0,901.0,861,1935,1998,1,6,0.0,0,0.0,0,54,4080,128900
4,1622,1.45,1356.0,4.0,1249.0,1622,1961,1975,1,7,149.0,1,1159.0,0,439,32463,168000
8,1880,2.15,880.0,3.0,955.0,955,2007,2007,2,8,0.0,1,745.0,127,168,12217,310013
8,1088,3.6,461.0,2.0,1074.0,1088,1986,1986,1,5,0.0,0,0.0,74,0,3696,170000
5,1040,1.9,286.0,1.0,1040.0,1040,1959,1959,1,6,0.0,0,369.0,0,140,7560,133700
6,1502,2.5,180.0,1.0,602.0,900,1923,1996,1,7,0.0,2,0.0,0,96,10592,165000
6,987,1.0,264.0,1.0,483.0,483,1971,1971,1,5,604.0,0,358.0,0,0,1680,89500
6,1095,1.9,264.0,1.0,588.0,1095,1958,1958,1,6,105.0,0,513.0,0,0,10382,140000
7,1709,1.7,380.0,2.0,970.0,970,2004,2004,2,7,50.0,0,0.0,40,0,2522,134000
6,1731,2.0,462.0,2.0,836.0,844,1992,1993,2,7,0.0,0,758.0,85,307,9370,248500
4,960,1.4,364.0,1.0,648.0,960,1965,2001,0,3,0.0,0,648.0,0,88,10246,145000
6,1552,2.05,434.0,2.0,713.0,811,1975,1975,2,6,0.0,1,550.0,208,209,11475,179900
8,1795,2.15,895.0,3.0,1795.0,1795,2006,2007,2,7,428.0,1,0.0,49,0,9986,147000
5,1274,1.45,576.0,2.0,624.0,624,1991,1991,1,6,0.0,0,458.0,0,22,10475,136000
6,1196,1.35,576.0,2.0,572.0,848,1940,1950,1,6,0.0,2,264.0,0,0,6000,128000
4,704,1.4,220.0,1.0,560.0,704,1946,2001,1,4,0.0,0,0.0,0,0,4280,88750
5,972,1.9,305.0,1.0,972.0,972,1955,1955,1,5,0.0,0,648.0,0,0,10895,122500
6,1458,1.9,330.0,1.0,912.0,912,1948,1950,1,6,0.0,1,0.0,0,192,17503,97500
6,1008,1.9,430.0,2.0,1008.0,1008,1963,1963,1,5,332.0,0,0.0,0,0,9723,135000
9,1828,2.7,774.0,3.0,1822.0,1828,2007,2007,2,9,452.0,1,48.0,108,0,11694,314813
3,1526,1.05,0.0,0.0,1013.0,1013,1915,1982,1,6,0.0,0,0.0,0,0,8470,85000
6,1176,1.35,624.0,2.0,698.0,786,1937,2000,1,4,0.0,0,0.0,0,210,6000,134900
5,1057,1.7,288.0,1.0,1057.0,1057,1955,1999,1,6,164.0,0,0.0,0,0,10519,137000
8,2113,3.4,839.0,3.0,2109.0,2113,1995,1995,2,7,660.0,1,1696.0,46,236,10437,350000
5,1387,1.9,300.0,1.0,943.0,1387,1967,1975,1,6,0.0,1,373.0,0,0,7514,145000
9,2758,2.7,814.0,3.0,1704.0,1722,2005,2006,2,9,365.0,1,0.0,55,282,13654,418000
3,840,1.85,250.0,1.0,798.0,840,1920,1950,1,5,0.0,0,0.0,0,112,5747,64000
5,1520,1.45,281.0,1.0,793.0,848,1932,2000,1,6,0.0,0,182.0,0,0,4500,159434
8,1542,2.15,852.0,3.0,1542.0,1542,2007,2007,2,6,164.0,1,1220.0,110,168,11830,260261
5,1385,1.9,720.0,2.0,910.0,910,1952,1952,2,6,0.0,0,507.0,0,0,8520,166000
5,936,1.9,288.0,1.0,896.0,936,1962,1962,1,6,0.0,1,734.0,90,24,6760,130000
5,1288,1.45,240.0,1.0,824.0,824,1941,1950,1,6,0.0,0,384.0,0,0,6191,112000
5,1128,1.9,525.0,2.0,1120.0,1128,1963,1963,2,6,148.0,0,776.0,20,192,8700,155000
8,1968,2.85,680.0,3.0,774.0,774,2009,2010,2,8,84.0,1,0.0,75,0,12003,269500
6,1246,1.9,441.0,2.0,1246.0,1246,1964,1964,1,6,0.0,2,939.0,69,0,12700,172000
7,1740,2.5,240.0,1.0,800.0,960,1940,1984,1,6,0.0,2,410.0,0,0,13125,219500
5,925,1.4,484.0,2.0,925.0,925,1963,1963,1,5,0.0,0,181.0,74,203,8638,133500
7,1430,2.1,400.0,2.0,384.0,774,2000,2000,2,8,0.0,1,0.0,0,100,9967,170000
8,1566,1.85,288.0,1.0,930.0,930,1900,2003,2,7,0.0,0,0.0,228,54,9600,150000
5,950,1.9,400.0,2.0,984.0,950,1953,1953,1,5,0.0,0,624.0,32,0,12774,130000
5,1144,1.9,796.0,1.0,1144.0,1144,1959,1959,1,6,128.0,1,748.0,0,86,8163,143000
5,1114,1.9,451.0,2.0,1114.0,1114,1961,1961,1,5,0.0,0,0.0,0,0,9900,140000
7,2223,1.9,516.0,2.0,2223.0,2223,1973,1973,2,8,1115.0,2,1880.0,0,300,13651,244000
5,1111,1.05,288.0,1.0,530.0,581,1920,1996,1,6,0.0,0,0.0,0,0,7200,101000
5,960,1.85,624.0,2.0,960.0,960,1958,1958,1,5,0.0,0,0.0,0,0,9750,125000
6,1633,2.1,460.0,2.0,932.0,932,1998,1998,2,7,0.0,1,0.0,39,0,11184,183000
6,2229,1.85,0.0,0.0,755.0,929,1912,1950,1,8,0.0,0,0.0,198,0,5520,104000
6,984,1.9,280.0,1.0,936.0,984,1954,1954,1,4,0.0,0,0.0,0,0,6390,112500
6,1686,2.05,612.0,2.0,1686.0,1686,1980,1980,2,7,157.0,1,625.0,131,384,10240,207500
7,1614,2.5,576.0,2.0,1614.0,1614,2005,2005,2,7,140.0,1,56.0,45,100,9316,225000
5,864,2.5,297.0,1.0,864.0,864,1972,1972,1,5,0.0,0,437.0,0,0,7200,119900
7,1740,2.7,874.0,3.0,1721.0,1740,2006,2006,2,8,206.0,0,0.0,43,0,12228,293000
5,1721,1.4,440.0,2.0,1461.0,1721,1968,1993,2,7,0.0,1,570.0,96,0,10335,180000
6,1034,1.45,888.0,3.0,1012.0,1034,1976,1976,1,6,335.0,0,539.0,0,0,12328,169900
6,1902,1.4,539.0,2.0,0.0,1318,1978,1978,2,8,0.0,0,0.0,0,0,8930,112000
6,1097,2.0,480.0,2.0,1040.0,1097,1984,1985,2,6,0.0,0,338.0,0,0,9672,152000
9,2206,2.7,670.0,3.0,1090.0,1117,2005,2006,2,10,525.0,1,0.0,95,148,13975,300000
6,1117,1.7,672.0,2.0,1029.0,1117,1976,1976,1,6,0.0,1,422.0,0,144,7819,107000
4,2290,1.85,560.0,2.0,777.0,1246,1885,1950,2,11,0.0,0,0.0,0,0,11340,122500
6,948,1.0,264.0,1.0,483.0,483,1972,1972,1,5,504.0,0,276.0,0,0,1680,89000
6,919,1.45,231.0,1.0,600.0,600,1940,1950,1,5,0.0,0,368.0,0,0,6001,95000
6,1152,2.05,412.0,2.0,912.0,1152,1968,1968,1,7,41.0,0,0.0,126,0,11700,143450
9,2334,2.7,751.0,3.0,1590.0,1627,2009,2010,2,10,162.0,1,0.0,133,144,12858,376162
5,1264,1.9,461.0,2.0,1268.0,1264,1960,1960,1,6,324.0,2,697.0,0,0,9300,167500
5,1224,2.0,528.0,2.0,1086.0,1224,1979,1979,0,6,275.0,2,1086.0,0,120,7018,153337
6,1369,1.7,300.0,1.0,672.0,697,1925,1950,2,6,0.0,0,551.0,0,147,6629,103600
5,894,2.5,308.0,1.0,894.0,894,1976,1976,1,5,0.0,0,182.0,0,365,10650,128200
6,1573,2.15,440.0,2.0,756.0,769,2000,2000,2,5,216.0,0,378.0,32,0,2117,177500
8,2250,2.7,756.0,3.0,1671.0,1687,2002,2002,2,7,232.0,1,578.0,130,238,13650,320000
6,1514,2.1,394.0,2.0,794.0,819,2000,2000,2,7,0.0,1,683.0,72,0,8433,190000
6,1218,1.0,0.0,0.0,672.0,672,1971,1971,1,7,236.0,0,0.0,0,201,1680,91500
5,1387,1.85,256.0,1.0,811.0,811,1954,1954,2,7,0.0,0,0.0,0,0,6000,93000
4,1317,1.05,250.0,1.0,649.0,649,1920,1950,1,6,0.0,0,0.0,54,0,8500,40000
6,1355,1.05,0.0,0.0,684.0,773,1914,2006,1,7,0.0,0,0.0,0,136,6882,127000
4,952,1.05,330.0,1.0,756.0,952,1896,1950,1,5,0.0,0,0.0,0,0,8712,50138
6,1113,1.7,504.0,1.0,1143.0,1113,1976,1976,1,6,174.0,1,751.0,30,370,7917,148000
5,778,1.05,924.0,1.0,740.0,778,1940,1955,1,4,0.0,1,403.0,25,0,6900,120500
6,1489,1.45,240.0,1.0,778.0,944,1940,1950,2,7,0.0,1,0.0,0,335,9900,139500
9,1698,1.7,768.0,3.0,1698.0,1698,2007,2008,2,8,340.0,1,1234.0,64,327,13286,320000
7,2267,1.4,498.0,2.0,1005.0,1262,1937,1980,1,7,0.0,2,288.0,0,521,12888,219000
5,902,1.45,484.0,2.0,864.0,902,1983,1983,1,5,0.0,0,301.0,0,164,8885,131000
6,1495,2.1,440.0,2.0,738.0,738,2006,2006,2,7,0.0,1,0.0,30,100,8857,171925
5,1384,2.1,404.0,2.0,1348.0,1384,1996,1997,2,7,0.0,0,450.0,39,0,14137,177900
6,1436,2.5,228.0,1.0,585.0,851,1921,1950,1,7,0.0,1,0.0,0,184,6720,141500
6,1636,2.1,440.0,2.0,952.0,952,1998,1999,2,7,0.0,1,476.0,84,0,7500,191000
6,1158,2.0,576.0,2.0,1158.0,1158,2004,2004,1,5,0.0,0,941.0,50,0,13072,158000
8,1646,2.85,870.0,3.0,1638.0,1646,2006,2007,2,6,274.0,1,0.0,80,192,10656,248900
5,1768,1.45,240.0,1.0,731.0,981,1937,1950,1,7,252.0,2,569.0,0,0,7200,175000
6,1565,1.9,299.0,1.0,1187.0,1565,1965,2000,2,7,0.0,2,901.0,25,200,8800,185900
7,1768,1.85,320.0,2.0,880.0,880,1914,1970,1,6,0.0,2,390.0,341,0,10800,163000
5,1396,1.05,0.0,0.0,660.0,1060,1951,1951,2,8,0.0,0,0.0,0,0,9000,115000
6,1096,1.4,484.0,2.0,1008.0,1096,1978,1978,1,6,39.0,1,528.0,0,168,13014,157500
7,2312,2.1,658.0,3.0,1177.0,1223,1999,1999,2,8,210.0,1,913.0,0,298,15896,245000
8,1337,3.6,462.0,2.0,1337.0,1337,1993,1993,2,5,0.0,1,733.0,0,96,5395,180000
7,1102,2.15,480.0,2.0,551.0,551,2004,2004,2,4,0.0,0,239.0,60,0,5105,148800
8,2031,2.5,577.0,2.0,1128.0,1128,2002,2002,2,7,0.0,1,804.0,211,0,9473,237000
2,438,1.45,246.0,1.0,290.0,438,1920,1950,1,3,0.0,0,290.0,0,0,8400,60000
5,1033,1.7,504.0,2.0,456.0,1033,1976,1976,1,6,222.0,0,456.0,0,224,12102,165000
7,2327,2.5,596.0,2.0,1129.0,1129,2003,2003,2,9,0.0,1,0.0,57,0,10905,240000
7,1187,2.1,420.0,2.0,1168.0,1187,1992,1993,2,6,52.0,0,0.0,21,0,9556,160000
6,1340,1.45,440.0,1.0,780.0,816,1945,1950,1,6,0.0,0,780.0,0,0,6430,128000
4,1152,1.7,0.0,0.0,0.0,1152,1955,1955,2,6,0.0,0,0.0,0,0,6040,82000
6,1567,1.9,542.0,2.0,1562.0,1567,1966,2008,2,5,210.0,2,1387.0,110,0,14695,256000
7,1482,1.85,324.0,2.0,650.0,832,1920,1988,1,7,0.0,0,624.0,0,0,9000,143000
7,1689,2.85,433.0,2.0,1689.0,1689,2006,2007,2,7,0.0,0,0.0,39,100,8368,231713
5,1424,2.1,828.0,3.0,1100.0,1424,1969,1990,1,7,0.0,0,1047.0,0,144,41600,155000
5,816,1.45,264.0,1.0,816.0,816,1983,1983,1,4,0.0,0,534.0,0,315,6490,128500
7,1424,1.45,312.0,1.0,1228.0,1424,1921,1950,2,7,174.0,1,0.0,0,0,7290,168000
7,1479,1.9,484.0,2.0,725.0,725,1972,2004,1,7,138.0,0,626.0,32,0,7472,184000
5,1025,1.9,0.0,0.0,1025.0,1025,1962,1962,1,6,0.0,0,953.0,80,96,7000,124000
6,1442,2.05,615.0,2.0,1442.0,1442,1970,1970,2,6,571.0,1,0.0,0,371,11717,185000
8,1936,2.1,504.0,2.0,1406.0,1454,2000,2000,2,7,40.0,1,0.0,124,188,11194,230500
7,1939,2.5,555.0,3.0,1054.0,1070,1998,1998,2,8,227.0,1,796.0,84,128,11250,227000
6,1476,2.5,540.0,2.0,738.0,738,2005,2005,2,7,0.0,0,193.0,35,100,8633,173500
5,898,1.9,326.0,1.0,833.0,898,1968,1968,1,6,0.0,0,744.0,0,143,8400,140000
8,1460,2.15,480.0,2.0,1460.0,1460,2006,2007,2,6,0.0,1,666.0,20,0,10037,247000
6,1034,1.4,504.0,2.0,456.0,1034,1978,1978,1,5,23.0,1,456.0,0,0,8014,149900
5,1174,2.5,528.0,2.0,864.0,1174,1978,1978,1,5,180.0,0,781.0,0,211,12250,158000
7,1080,2.15,496.0,2.0,530.0,530,2003,2003,2,4,0.0,0,244.0,50,0,2403,147110
6,1376,1.05,198.0,1.0,780.0,780,1937,1950,2,7,0.0,1,0.0,0,0,8600,119500
5,1567,2.5,440.0,2.0,840.0,840,1940,1950,1,6,0.0,2,728.0,21,0,13680,205000
5,1534,1.85,0.0,0.0,736.0,751,1895,1999,1,6,0.0,0,0.0,112,0,10800,148000
8,1616,3.6,608.0,2.0,1595.0,1616,1995,1996,2,5,0.0,1,1180.0,152,237,5389,236500
5,1551,1.45,240.0,1.0,1058.0,1058,1938,1950,2,6,0.0,0,930.0,0,0,10890,137000
5,960,1.9,330.0,1.0,960.0,960,1955,1955,1,5,0.0,0,100.0,70,0,9768,122000
7,1302,2.1,436.0,2.0,1302.0,1302,2007,2007,2,6,0.0,0,0.0,22,0,8993,176485
5,816,1.35,210.0,1.0,816.0,816,1925,1950,1,4,0.0,0,0.0,0,168,11672,109000
7,1502,3.0,286.0,1.0,1502.0,1502,1998,1998,1,5,239.0,1,1102.0,0,0,9763,330000
6,1133,1.85,308.0,1.0,192.0,1133,2008,2008,1,7,0.0,0,96.0,175,0,9836,143000
9,3078,3.4,806.0,3.0,1408.0,1671,1998,1998,2,9,422.0,1,672.0,87,108,10557,410000
6,1721,2.0,471.0,2.0,928.0,936,1994,1994,2,7,105.0,0,814.0,87,300,8462,201000
4,1760,1.85,648.0,2.0,1077.0,981,1910,1950,1,7,0.0,1,0.0,0,120,10818,80000
6,2320,2.5,180.0,1.0,1028.0,1436,1945,2002,2,9,0.0,1,774.0,0,224,7259,259500
7,2486,2.85,452.0,2.0,1122.0,1146,2003,2004,3,10,94.0,1,766.0,32,143,11800,279900
5,1246,1.9,305.0,1.0,1246.0,1246,1959,1994,1,6,0.0,0,340.0,0,218,7500,154000
6,2144,2.35,389.0,2.0,1444.0,1444,1958,2006,2,7,472.0,2,697.0,98,0,159000,277000
5,1150,1.7,215.0,1.0,799.0,799,1942,1950,1,6,0.0,2,230.0,0,264,6488,128000
8,1600,2.7,890.0,3.0,1566.0,1600,2007,2007,2,7,640.0,1,0.0,56,0,14230,256300
4,1755,2.5,231.0,1.0,930.0,1230,1930,2003,2,7,0.0,1,189.0,40,0,7810,188000
8,1800,2.85,765.0,3.0,1800.0,1800,2002,2002,2,7,630.0,1,1274.0,78,270,14331,312500
7,1200,2.15,480.0,2.0,600.0,600,2004,2005,2,4,0.0,0,0.0,172,0,3182,151000
5,1365,1.0,440.0,2.0,765.0,765,1971,1971,1,6,376.0,0,471.0,36,240,1920,122500
6,1696,2.0,542.0,2.0,835.0,835,2003,2003,2,7,0.0,0,80.0,66,143,10110,188000
7,1809,2.5,638.0,2.0,945.0,945,2005,2006,2,8,0.0,0,0.0,54,144,10984,209700
8,2234,3.6,724.0,2.0,2220.0,2234,2006,2006,1,7,945.0,1,1558.0,80,390,14082,441929
6,1680,2.0,474.0,2.0,886.0,886,1993,1994,2,7,120.0,0,602.0,96,144,8480,163000
6,2087,2.35,444.0,2.0,832.0,976,1966,2007,2,9,157.0,0,568.0,168,133,12205,187500
8,1513,2.5,521.0,2.0,1462.0,1513,1999,2000,2,5,260.0,1,1246.0,34,135,15750,220000
5,1107,1.9,308.0,1.0,949.0,1107,1967,1993,1,5,0.0,0,474.0,64,88,8050,127000
5,827,1.9,392.0,1.0,0.0,827,1955,2007,1,5,0.0,1,0.0,0,0,7200,107500
6,1484,1.85,0.0,0.0,742.0,742,1914,2001,2,9,0.0,1,0.0,291,0,6300,128000
5,764,1.85,504.0,2.0,680.0,764,1925,2004,1,4,0.0,0,0.0,0,0,5232,73000
9,1792,2.7,874.0,3.0,1792.0,1792,2003,2004,2,6,562.0,1,1567.0,49,206,11846,374000
8,2649,2.7,746.0,3.0,1479.0,1515,2001,2002,2,10,1110.0,1,1075.0,60,0,16900,421250
6,1593,2.1,389.0,2.0,808.0,808,1992,1993,2,7,0.0,1,0.0,40,342,9636,178000
4,1181,1.7,588.0,2.0,1138.0,1181,1972,1972,2,6,0.0,0,920.0,0,0,10012,137500
8,1987,3.4,691.0,2.0,1986.0,1987,1994,1994,2,7,554.0,1,1314.0,36,262,14303,301500
6,1242,1.45,180.0,1.0,583.0,647,1935,1950,1,6,0.0,1,0.0,96,329,5707,105000
6,976,1.9,504.0,2.0,976.0,976,1968,2004,1,4,203.0,1,760.0,0,94,9360,157500
5,1214,1.85,216.0,1.0,969.0,969,1901,1950,1,6,0.0,0,0.0,0,0,5680,117000
5,864,1.9,336.0,1.0,864.0,864,1962,1962,1,5,0.0,0,468.0,0,0,7000,105000
6,1639,1.45,240.0,1.0,1064.0,1166,1936,1950,1,6,0.0,0,0.0,0,0,10480,115000
9,1736,2.7,834.0,3.0,1736.0,1736,2008,2008,2,7,302.0,1,0.0,90,319,11578,360000
5,1535,2.0,400.0,2.0,0.0,1535,1979,1979,2,8,0.0,0,0.0,0,0,7018,118858
6,1632,2.05,484.0,2.0,800.0,800,1966,2000,1,7,252.0,0,400.0,40,0,9130,173000
3,725,1.85,320.0,1.0,630.0,725,1890,1998,1,4,0.0,0,0.0,30,0,10800,78500
7,1720,2.1,440.0,2.0,840.0,840,2004,2004,2,7,0.0,1,0.0,48,100,8244,183500
4,936,1.85,576.0,2.0,936.0,936,1953,1953,1,4,0.0,0,0.0,32,0,6000,93000
8,1589,2.1,630.0,3.0,1406.0,1589,2003,2003,2,7,72.0,1,1084.0,20,143,3621,226500
6,1571,2.1,380.0,2.0,799.0,799,1993,1994,2,7,0.0,1,0.0,40,0,7837,178000
7,1479,2.5,558.0,2.0,1453.0,1479,2003,2003,2,7,167.0,0,1013.0,29,144,10665,226000
5,1632,1.45,898.0,2.0,784.0,784,1969,1969,1,7,178.0,1,496.0,173,0,10457,173000
5,864,1.4,360.0,1.0,864.0,864,1965,1965,1,5,0.0,1,553.0,0,0,8281,62383
9,2713,2.7,858.0,3.0,1452.0,1476,2008,2008,2,11,268.0,1,1330.0,66,126,14948,446261
